public_intersection,year,all_eligible_crashes,cyclist_involved_crashes,pedestrian_involved_crashes
CAMBRIDGE ST & NORTH FIRST,2023,0,0,0
CAMBRIDGE ST & NORTH FIRST,2024,0,0,0
CAMBRIDGE ST & NORTH FIRST,2025,1,1,0
CAMBRIDGE ST & OAK ST,2023,0,0,0
CAMBRIDGE ST & OAK ST,2024,0,0,0
CAMBRIDGE ST & OAK ST,2025,1,1,0
CAMBRIDGE ST & SECOND ST,2023,1,0,1
CAMBRIDGE ST & SECOND ST,2024,0,0,0
CAMBRIDGE ST & SECOND ST,2025,0,0,0
CAMBRIDGE ST & SIXTH ST,2023,0,0,0
CAMBRIDGE ST & SIXTH ST,2024,1,0,1
CAMBRIDGE ST & SIXTH ST,2025,0,0,0
CAMBRIDGE ST & WARREN ST,2023,0,0,0
CAMBRIDGE ST & WARREN ST,2024,1,0,1
CAMBRIDGE ST & WARREN ST,2025,0,0,0
CAMRBIDGE & MAPLE AVE,2023,0,0,0
CAMRBIDGE & MAPLE AVE,2024,0,0,0
CAMRBIDGE & MAPLE AVE,2025,1,1,0
CARDINAL MEDEIROS & HAMPSHIRE ST,2023,0,0,0
CARDINAL MEDEIROS & HAMPSHIRE ST,2024,0,0,0
CARDINAL MEDEIROS & HAMPSHIRE ST,2025,1,1,0
CARDINAL MEDEIROS AVE & MARNEY ST,2023,1,0,1
CARDINAL MEDEIROS AVE & MARNEY ST,2024,0,0,0
CARDINAL MEDEIROS AVE & MARNEY ST,2025,0,0,0
CHAUCEY ST & GARDEN ST,2023,0,0,0
CHAUCEY ST & GARDEN ST,2024,1,1,0
CHAUCEY ST & GARDEN ST,2025,0,0,0
CHAUNCY & GARDEN ST,2023,1,1,0
CHAUNCY & GARDEN ST,2024,0,0,0
CHAUNCY & GARDEN ST,2025,0,0,0
CHAUNCY ST & MASSACHUSETTS AVE,2023,0,0,0
CHAUNCY ST & MASSACHUSETTS AVE,2024,1,0,1
CHAUNCY ST & MASSACHUSETTS AVE,2025,0,0,0
CHILD ST & JACOB ST,2023,0,0,0
CHILD ST & JACOB ST,2024,0,0,0
CHILD ST & JACOB ST,2025,1,0,1
CLAY ST & RINDGE AVE,2023,1,0,1
CLAY ST & RINDGE AVE,2024,0,0,0
CLAY ST & RINDGE AVE,2025,0,0,0
CLIFTON CIR & RINDGE AVE,2023,0,0,0
CLIFTON CIR & RINDGE AVE,2024,1,1,0
CLIFTON CIR & RINDGE AVE,2025,0,0,0
COLUMBIA ST & WEBSTER AVE,2023,0,0,0
COLUMBIA ST & WEBSTER AVE,2024,1,1,0
COLUMBIA ST & WEBSTER AVE,2025,0,0,0
CONCORD AVE & GARDEN ST,2023,0,0,0
CONCORD AVE & GARDEN ST,2024,0,0,0
CONCORD AVE & GARDEN ST,2025,1,1,0
CONCORD AVE & SMITH PL,2023,0,0,0
CONCORD AVE & SMITH PL,2024,1,0,1
CONCORD AVE & SMITH PL,2025,0,0,0
COTTAGE ST & RIVER ST,2023,0,0,0
COTTAGE ST & RIVER ST,2024,1,1,0
COTTAGE ST & RIVER ST,2025,0,0,0
DANA ST & HARVARD ST,2023,0,0,0
DANA ST & HARVARD ST,2024,0,0,0
DANA ST & HARVARD ST,2025,1,0,1
